公司代號,公司名稱,ROE,ROA
6117,迎廣,          6.92,          9.67
6120,達運,          3.88,          7.06
6128,上福,         10.04,         15.74
6133,金橋,          5.00,          7.00
6136,富爾特,         16.27,         28.14
6139,亞翔,         14.02,         20.78
6141,柏承,         15.15,         25.12
6142,友勁,          9.58,         16.54
6152,百一,         12.95,         23.52
6153,嘉聯益,         10.07,         18.78
6155,鈞寶,         13.34,         20.00
6164,華興,          2.42,          3.08
6165,浪凡,          8.29,         13.11
6166,凌華,         13.91,         22.90
6168,宏齊,         17.88,         24.75
6176,瑞儀,         14.67,         23.88
6177,達麗,          3.28,          6.00
6183,關貿,          7.86,          8.60
6184,大豐電,         21.46,         26.65
6189,豐藝,         13.38,         34.25
6191,精成科,         10.59,         16.94
6192,巨路,          8.60,         15.05
6196,帆宣,         12.02,         21.17
6197,佳必琪,         19.78,         32.06
6201,亞弘電,         18.90,         27.71
6202,盛群,         16.00,         21.00
6205,詮欣,         13.39,         22.98
6206,飛捷,         17.00,         23.00
6209,今國光,         20.73,         30.54
6213,聯茂,          6.00,         13.00
6214,精誠,         14.00,         18.00
6215,和椿,          7.62,         13.09
6216,居易,         41.00,         54.00
6224,聚鼎,         19.95,         23.52
6225,天瀚,         18.42,         28.61
6226,光鼎,          2.58,          4.00
6230,尼得科超眾,         13.85,         28.25
6235,華孚,         15.05,         21.32
6239,力成,         18.56,         31.06
6243,迅杰,         17.00,         22.00
6257,矽格,         14.56,         23.31
6269,台郡,         10.26,         19.00
6277,宏正,         19.76,         22.81
6278,台表科,          6.19,         13.76
6281,全國電,         10.16,         21.82
6282,康舒,         14.56,         23.27
6283,淳安,         16.20,         24.80
6285,啟碁,         20.00,         36.00
6505,台塑化,          7.05,         14.07
6605,帝寶,         19.52,         35.30
8011,台通,          3.34,          4.14
8016,矽創,         33.21,         43.83
8021,尖點,          5.61,          6.99
8033,雷虎,         15.82,         20.72
8039,台虹,         18.23,         28.87
8046,南電,          2.18,          2.92
8070,長華*,         16.38,         33.79
8072,陞泰,         37.67,         45.88
8081,致新,          7.00,          9.00
8101,華冠,         17.00,         32.00
8103,瀚荃,         17.65,         26.70
8105,凌巨,          2.06,          2.90
8112,至上,          6.00,         12.00
8114,振樺電,         17.27,         22.73
8261,富鼎,         12.86,         17.18
8374,羅昇,         14.23,         18.92
8926,台汽電,          4.99,          8.67
8940,新天地,          7.30,         11.54
9902,台火,         -6.51,        -23.73
9904,寶成,         15.12,         21.68
9905,大華,          9.80,         10.80
9907,統一實,          2.95,          3.43
9908,大台北,          4.30,          7.49
9910,豐泰,         13.00,         18.00
9911,櫻花,         -0.01,         -3.03
9912,偉聯,        -13.00,        -30.00
9914,美利達,          4.00,          6.40
9917,中保科,         11.54,         15.69
9919,康那香,          5.68,          8.39
9921,巨大,         14.27,         21.02
9924,福興,         12.80,         17.00
9925,新保,         10.88,         16.01
9926,新海,          3.96,          6.92
9927,泰銘,          9.80,         14.93
9928,中視,          2.32,         -3.65
9929,秋雨,         -2.48,         -8.03
9930,中聯資源,          7.20,         12.40
9931,欣高,          2.13,          4.47
9934,成霖,          7.68,          9.06
9937,全國,          7.13,         13.82
9938,百和,          6.90,         12.30
9939,宏全,         10.80,         17.00
9940,信義,         22.81,         36.93
9941,裕融,          5.00,         16.60
9942,茂順,         17.60,         23.41
9943,好樂迪,          4.87,          6.57
9944,新麗,          8.49,         12.79
9945,潤泰新,          1.04,          0.08
9946,三發地產,          7.64,          9.82
9955,佳龍,         11.92,         16.56
